"TIME","GEO","FREQUENC","DEG_URB","HHTYP","QUANTILE","UNIT","Value","Flag and Footnotes"
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Two adults","Third quintile","Percentage","31.3",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Two adults","Fourth quintile","Percentage","25.5",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Two adults","Fifth quintile","Percentage","13.9",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Two adults with dependent children","First quintile","Percentage","32.3",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Two adults with dependent children","Second quintile","Percentage","17.5",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Two adults with dependent children","Third quintile","Percentage","9.1",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Two adults with dependent children","Fourth quintile","Percentage","6.2",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Two adults with dependent children","Fifth quintile","Percentage","2.1",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Three or more adults","First quintile","Percentage","35.1","u"
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Three or more adults","Second quintile","Percentage","52.3",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Three or more adults","Third quintile","Percentage","30.4",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Three or more adults","Fourth quintile","Percentage","27.5",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Three or more adults","Fifth quintile","Percentage","16.7",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Households without dependent children","First quintile","Percentage","53.9",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Households without dependent children","Second quintile","Percentage","45.2",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Households without dependent children","Third quintile","Percentage","29.9",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Households without dependent children","Fourth quintile","Percentage","23.9",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Households without dependent children","Fifth quintile","Percentage","14.1",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Households with dependent children","First quintile","Percentage","31.8",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Households with dependent children","Second quintile","Percentage","19.2",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Households with dependent children","Third quintile","Percentage","12.0",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Households with dependent children","Fourth quintile","Percentage","7.7",""
"2015","Slovenia","Not in the last 12 months","Towns and suburbs","Households with dependent children","Fifth quintile","Percentage","3.9",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Single person","First quintile","Percentage","63.3",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Single person","Second quintile","Percentage","36.2",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Single person","Third quintile","Percentage","29.2","u"
"2015","Slovenia","Not in the last 12 months","Rural areas","Single person","Fourth quintile","Percentage","9.6","u"
"2015","Slovenia","Not in the last 12 months","Rural areas","Single person","Fifth quintile","Percentage","22.6","u"
"2015","Slovenia","Not in the last 12 months","Rural areas","Two adults","First quintile","Percentage","55.8",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Two adults","Second quintile","Percentage","44.0",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Two adults","Third quintile","Percentage","38.9",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Two adults","Fourth quintile","Percentage","23.7",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Two adults","Fifth quintile","Percentage","17.4",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Two adults with dependent children","First quintile","Percentage","30.5",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Two adults with dependent children","Second quintile","Percentage","18.2",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Two adults with dependent children","Third quintile","Percentage","13.7",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Two adults with dependent children","Fourth quintile","Percentage","13.9",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Two adults with dependent children","Fifth quintile","Percentage","3.7",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Three or more adults","First quintile","Percentage","49.1",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Three or more adults","Second quintile","Percentage","35.8",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Three or more adults","Third quintile","Percentage","32.5",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Three or more adults","Fourth quintile","Percentage","29.1",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Three or more adults","Fifth quintile","Percentage","14.4",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Households without dependent children","First quintile","Percentage","58.5",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Households without dependent children","Second quintile","Percentage","40.1",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Households without dependent children","Third quintile","Percentage","34.8",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Households without dependent children","Fourth quintile","Percentage","25.5",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Households without dependent children","Fifth quintile","Percentage","16.3",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Households with dependent children","First quintile","Percentage","32.6",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Households with dependent children","Second quintile","Percentage","26.5",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Households with dependent children","Third quintile","Percentage","15.7",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Households with dependent children","Fourth quintile","Percentage","14.0",""
"2015","Slovenia","Not in the last 12 months","Rural areas","Households with dependent children","Fifth quintile","Percentage","5.4",""
"2015","Slovenia","At least once","Cities","Single person","First quintile","Percentage","42.9",""
"2015","Slovenia","At least once","Cities","Single person","Second quintile","Percentage","50.9",""
"2015","Slovenia","At least once","Cities","Single person","Third quintile","Percentage","77.7","u"
"2015","Slovenia","At least once","Cities","Single person","Fourth quintile","Percentage","81.8","u"
"2015","Slovenia","At least once","Cities","Single person","Fifth quintile","Percentage","91.7",""
"2015","Slovenia","At least once","Cities","Two adults","First quintile","Percentage","54.0",""
"2015","Slovenia","At least once","Cities","Two adults","Second quintile","Percentage","62.6",""
"2015","Slovenia","At least once","Cities","Two adults","Third quintile","Percentage","64.3",""
"2015","Slovenia","At least once","Cities","Two adults","Fourth quintile","Percentage","78.9",""
"2015","Slovenia","At least once","Cities","Two adults","Fifth quintile","Percentage","84.5",""
"2015","Slovenia","At least once","Cities","Two adults with dependent children","First quintile","Percentage","65.0",""
"2015","Slovenia","At least once","Cities","Two adults with dependent children","Second quintile","Percentage","76.5",""
"2015","Slovenia","At least once","Cities","Two adults with dependent children","Third quintile","Percentage","85.9",""
"2015","Slovenia","At least once","Cities","Two adults with dependent children","Fourth quintile","Percentage","94.8",""
"2015","Slovenia","At least once","Cities","Two adults with dependent children","Fifth quintile","Percentage","99.4",""
"2015","Slovenia","At least once","Cities","Three or more adults","First quintile","Percentage","53.6","u"
"2015","Slovenia","At least once","Cities","Three or more adults","Second quintile","Percentage","71.1","u"
"2015","Slovenia","At least once","Cities","Three or more adults","Third quintile","Percentage","74.8","u"
"2015","Slovenia","At least once","Cities","Three or more adults","Fourth quintile","Percentage","79.4","u"
"2015","Slovenia","At least once","Cities","Three or more adults","Fifth quintile","Percentage","82.8",""
"2015","Slovenia","At least once","Cities","Households without dependent children","First quintile","Percentage","47.5",""
"2015","Slovenia","At least once","Cities","Households without dependent children","Second quintile","Percentage","59.3",""
"2015","Slovenia","At least once","Cities","Households without dependent children","Third quintile","Percentage","70.3",""
"2015","Slovenia","At least once","Cities","Households without dependent children","Fourth quintile","Percentage","79.8",""
"2015","Slovenia","At least once","Cities","Households without dependent children","Fifth quintile","Percentage","86.1",""
"2015","Slovenia","At least once","Cities","Households with dependent children","First quintile","Percentage","68.4",""
"2015","Slovenia","At least once","Cities","Households with dependent children","Second quintile","Percentage","78.6",""
"2015","Slovenia","At least once","Cities","Households with dependent children","Third quintile","Percentage","85.9",""
"2015","Slovenia","At least once","Cities","Households with dependent children","Fourth quintile","Percentage","89.4",""
"2015","Slovenia","At least once","Cities","Households with dependent children","Fifth quintile","Percentage","98.8",""
"2015","Slovenia","At least once","Towns and suburbs","Single person","First quintile","Percentage","37.4",""
"2015","Slovenia","At least once","Towns and suburbs","Single person","Second quintile","Percentage","56.7",""
"2015","Slovenia","At least once","Towns and suburbs","Single person","Third quintile","Percentage","75.1","u"
"2015","Slovenia","At least once","Towns and suburbs","Single person","Fourth quintile","Percentage","89.9","u"
"2015","Slovenia","At least once","Towns and suburbs","Single person","Fifth quintile","Percentage","92.2","u"
"2015","Slovenia","At least once","Towns and suburbs","Two adults","First quintile","Percentage","50.2",""
"2015","Slovenia","At least once","Towns and suburbs","Two adults","Second quintile","Percentage","56.6",""
"2015","Slovenia","At least once","Towns and suburbs","Two adults","Third quintile","Percentage","68.7",""
"2015","Slovenia","At least once","Towns and suburbs","Two adults","Fourth quintile","Percentage","74.5",""
"2015","Slovenia","At least once","Towns and suburbs","Two adults","Fifth quintile","Percentage","86.1",""
"2015","Slovenia","At least once","Towns and suburbs","Two adults with dependent children","First quintile","Percentage","67.7",""
"2015","Slovenia","At least once","Towns and suburbs","Two adults with dependent children","Second quintile","Percentage","82.5",""
"2015","Slovenia","At least once","Towns and suburbs","Two adults with dependent children","Third quintile","Percentage","90.9",""
"2015","Slovenia","At least once","Towns and suburbs","Two adults with dependent children","Fourth quintile","Percentage","93.8",""
"2015","Slovenia","At least once","Towns and suburbs","Two adults with dependent children","Fifth quintile","Percentage","97.9",""
"2015","Slovenia","At least once","Towns and suburbs","Three or more adults","First quintile","Percentage","64.9","u"
"2015","Slovenia","At least once","Towns and suburbs","Three or more adults","Second quintile","Percentage","47.7",""
"2015","Slovenia","At least once","Towns and suburbs","Three or more adults","Third quintile","Percentage","69.6",""
"2015","Slovenia","At least once","Towns and suburbs","Three or more adults","Fourth quintile","Percentage","72.5",""
"2015","Slovenia","At least once","Towns and suburbs","Three or more adults","Fifth quintile","Percentage","83.3",""
"2015","Slovenia","At least once","Towns and suburbs","Households without dependent children","First quintile","Percentage","46.1",""
"2015","Slovenia","At least once","Towns and suburbs","Households without dependent children","Second quintile","Percentage","54.8",""
"2015","Slovenia","At least once","Towns and suburbs","Households without dependent children","Third quintile","Percentage","70.1",""
"2015","Slovenia","At least once","Towns and suburbs","Households without dependent children","Fourth quintile","Percentage","76.1",""
"2015","Slovenia","At least once","Towns and suburbs","Households without dependent children","Fifth quintile","Percentage","85.9",""
"2015","Slovenia","At least once","Towns and suburbs","Households with dependent children","First quintile","Percentage","68.2",""
"2015","Slovenia","At least once","Towns and suburbs","Households with dependent children","Second quintile","Percentage","80.8",""
"2015","Slovenia","At least once","Towns and suburbs","Households with dependent children","Third quintile","Percentage","88.0",""
"2015","Slovenia","At least once","Towns and suburbs","Households with dependent children","Fourth quintile","Percentage","92.3",""
"2015","Slovenia","At least once","Towns and suburbs","Households with dependent children","Fifth quintile","Percentage","96.1",""
"2015","Slovenia","At least once","Rural areas","Single person","First quintile","Percentage","36.7",""
"2015","Slovenia","At least once","Rural areas","Single person","Second quintile","Percentage","63.8",""
"2015","Slovenia","At least once","Rural areas","Single person","Third quintile","Percentage","70.8","u"
"2015","Slovenia","At least once","Rural areas","Single person","Fourth quintile","Percentage","90.4","u"
"2015","Slovenia","At least once","Rural areas","Single person","Fifth quintile","Percentage","77.4","u"
"2015","Slovenia","At least once","Rural areas","Two adults","First quintile","Percentage","44.2",""
"2015","Slovenia","At least once","Rural areas","Two adults","Second quintile","Percentage","56.0",""
"2015","Slovenia","At least once","Rural areas","Two adults","Third quintile","Percentage","61.1",""
"2015","Slovenia","At least once","Rural areas","Two adults","Fourth quintile","Percentage","76.3",""
"2015","Slovenia","At least once","Rural areas","Two adults","Fifth quintile","Percentage","82.6",""
"2015","Slovenia","At least once","Rural areas","Two adults with dependent children","First quintile","Percentage","69.5",""
"2015","Slovenia","At least once","Rural areas","Two adults with dependent children","Second quintile","Percentage","81.8",""
"2015","Slovenia","At least once","Rural areas","Two adults with dependent children","Third quintile","Percentage","86.3",""
"2015","Slovenia","At least once","Rural areas","Two adults with dependent children","Fourth quintile","Percentage","86.1",""
"2015","Slovenia","At least once","Rural areas","Two adults with dependent children","Fifth quintile","Percentage","96.3",""
"2015","Slovenia","At least once","Rural areas","Three or more adults","First quintile","Percentage","50.9",""
"2015","Slovenia","At least once","Rural areas","Three or more adults","Second quintile","Percentage","64.2",""
"2015","Slovenia","At least once","Rural areas","Three or more adults","Third quintile","Percentage","67.5",""
"2015","Slovenia","At least once","Rural areas","Three or more adults","Fourth quintile","Percentage","70.9",""
"2015","Slovenia","At least once","Rural areas","Three or more adults","Fifth quintile","Percentage","85.6",""
"2015","Slovenia","At least once","Rural areas","Households without dependent children","First quintile","Percentage","41.5",""
"2015","Slovenia","At least once","Rural areas","Households without dependent children","Second quintile","Percentage","59.9",""
"2015","Slovenia","At least once","Rural areas","Households without dependent children","Third quintile","Percentage","65.2",""
"2015","Slovenia","At least once","Rural areas","Households without dependent children","Fourth quintile","Percentage","74.5",""
"2015","Slovenia","At least once","Rural areas","Households without dependent children","Fifth quintile","Percentage","83.7",""
"2015","Slovenia","At least once","Rural areas","Households with dependent children","First quintile","Percentage","67.4",""
"2015","Slovenia","At least once","Rural areas","Households with dependent children","Second quintile","Percentage","73.5",""
"2015","Slovenia","At least once","Rural areas","Households with dependent children","Third quintile","Percentage","84.3",""
"2015","Slovenia","At least once","Rural areas","Households with dependent children","Fourth quintile","Percentage","86.0",""
"2015","Slovenia","At least once","Rural areas","Households with dependent children","Fifth quintile","Percentage","94.6",""
